Search Term,Matched Food Name,Serving Qty,Serving Size,Calories,Total Fat,Saturated,Polyunsaturated,Monounsaturated,Trans,Cholesterol,Sodium,Potassium,Total Carbs,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Toor dal,Bobo's toor dal,1.0,12.55 OZ,268.0,7 g,1 g,0 g,0 g,0 g,0 mg,"1,189 mg",434 mg,37 g,5 g,6 g,14 g,25 %,38 %,2 %,3 %
Moong dal,Swad Moong Dal Fried Moong Dal,1.0,0.5 cup,360.0,15 g,7 g,--,--,--,--,210 mg,--,41 g,7 g,--,16 g,--,--,8 %,--
Chana dal,Manitou Chana Dal,1.0,0.25 cup,120.0,0 g,0 g,--,--,0 g,0 mg,5 mg,288.1 mg,22 g,9 g,3 g,8 g,--,--,1.3 %,9.44 %
Masoor dal,Deep Masoor Dal,1.0,0.5 Cup Uncooked (100 gms),353.0,1.1 g,0.2 g,0.5 g,0.2 g,0 g,0 mg,6 mg,955 mg,60 g,31 g,2 g,26 g,0 %,7 %,5 %,41 %
Rajma,Homemade Rajma,1.0,1 cup,207.0,11.7 g,--,--,--,--,0 mg,11.1 mg,470.4 mg,19 g,2.6 g,--,6.4 g,8 %,58 %,18 %,9 %
Chole,CFS CFS Chole Sabji (Chole Chana Subji) Chole Subzi,1.0,100 g 1 katori,154.0,5.4 g,--,--,--,--,--,--,--,21 g,5.8 g,15.2 g,6.4 g,--,--,--,--
Whole moong,Roshni Whole Moong Beans,1.0,1 serving,180.0,2.5 g,0 g,--,--,0 g,--,10 mg,--,28 g,14 g,0 g,9 g,--,--,--,--
Urad dal,Homemade Urad Dal,1.0,100 g,341.0,1.6 g,0.1 g,--,--,--,0 mg,38 mg,983 mg,59 g,18 g,3 g,25 g,--,--,13 %,42 %
White basmati rice,"Della White Rice, Basmati",1.0,0.25 cup,160.0,0 g,0 g,--,--,0 g,0 mg,0 mg,35 mg,36 g,1 g,0 g,3 g,--,--,0.2 %,0 %
Brown rice,Brown Rice Brown Rice,1.0,1 cup,216.0,1.8 g,0.4 g,--,--,--,--,10 mg,84 mg,45 g,3.2 g,--,5.5 g,--,--,--,--
Wheat roti,Deepak Wheat Roti,1.0,1 Roti,104.0,3.7 g,0 g,0 g,0 g,0 g,0 mg,4.3 mg,68.2 mg,15.7 g,2.6 g,0 g,2.6 g,1 %,0 %,2 %,5 %
Multigrain roti,Homemade Multigrain Roti,1.0,41 grams,154.0,3 g,--,--,--,--,--,--,--,27 g,4 g,0.28 g,6 g,--,--,--,--
Plain paratha,Sujata Plain Paratha,1.0,1 paratha,240.0,4 g,2 g,--,--,0 g,0 mg,300 mg,50 mg,60 g,2 g,6 g,4 g,--,--,13 %,25 %
Aloo paratha,Indian Aloo Paratha,1.0,1 medium,360.0,8 g,--,--,--,--,0 mg,390 mg,0 mg,65 g,--,--,10 g,--,--,--,--
Jowar roti,Homemade Jowar Ki Roti (Priya's),1.0,1 roti,84.0,1.1 g,0.1 g,0.4 g,0.4 g,--,0 mg,74.7 mg,84 mg,17.9 g,0 g,0 g,2.7 g,--,--,0.7 %,5.9 %
Bajra roti,Umadi Bajra roti,1.0,1 Piece,65.0,1 g,0 g,0 g,0 g,0 g,0 mg,120 mg,0 mg,12 g,1 g,0 g,2 g,0 %,1 %,1 %,10 %
Poha,kavisha poha poha,1.0,150 gram,295.0,1 g,--,--,--,--,0 mg,34 mg,--,65.29 g,--,2.32 g,6.12 g,--,--,20.09 %,5.36 %
Upma,Tiffin to go Upma Upma,1.0,100 gms,196.0,6 g,3.1 g,0.5 g,2.3 g,0 g,5.1 mg,594 mg,0 mg,31.6 g,3.2 g,2.3 g,3.6 g,0 %,0 %,0 %,0 %
Idli,Idli,1.0,1 item,49.0,0.133 g,0.023 g,0.053 g,0.034 g,0 g,0 mg,95.76 mg,88.54 mg,9.492 g,2.204 g,0.703 g,2.417 g,0 %,0.125 %,0.038 %,1.862 %
Plain dosa,Homemade Dosa Plain,1.0,125 Gm,250.0,10.4 g,--,--,--,--,--,237 mg,179 mg,33 g,5 g,0.3 g,6 g,--,--,--,--
Masala dosa,Tandoor Chef Masala Dosa,1.0,1 piece,230.0,12 g,3 g,--,--,0 g,0 mg,600 mg,--,27 g,3 g,2 g,4 g,--,--,--,--
Uttapam,Mtr Uttapam 100g,1.0,1 pc,360.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cooked oats,Generic Cooked Oats,1.0,0.5 cup cooked,159.0,3.2 g,--,--,--,--,--,--,--,27.3 g,--,--,5.5 g,--,--,--,--
White bread slice,White Bread White Bread 2 Slices,1.0,2 slices,140.0,2 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,26 g,0 g,4 g,4 g,0 %,0 %,4 %,0 %
Brown bread slice,Qbake brown bread Bread slices,1.0,1 slice,91.0,0.93 g,0.37 g,0.17 g,0.34 g,--,--,--,--,15.5 g,--,--,5.25 g,--,--,--,--
Thepla,Shivam Thepla,1.0,100 gram,194.0,17.03 g,5.45 g,4.51 g,6.3 g,0 g,0 mg,156 mg,0 mg,52.07 g,1.5 g,0.8 g,9.27 g,0 %,0 %,0 %,0 %
Aloo sabzi,Kohinoor Aloo Ki Sabzi,1.0,0.333 pack (100g),84.0,3 g,0 g,0 g,--,--,0 mg,261 mg,--,13 g,3 g,0 g,1 g,0 %,2 %,4 %,2 %
Palak,Moong Dal Palak Moong Dal Palak,1.0,1 Cup Cooked,111.0,2.5 g,0.25 g,0.25 g,1.25 g,--,--,63.5 mg,107.75 mg,16 g,1.25 g,1.31 g,6 g,10 %,--,--,5 %
Bhindi,Home Bhindi Bhaji,1.0,1 cup,154.0,8.1 g,0.9 g,--,--,0 g,0 mg,890 mg,753 mg,19.5 g,7 g,10 g,4.8 g,34 %,65 %,15 %,9 %
Baingan,Homemade Baingan Sabzi,1.0,226.3 g,178.0,14 g,2 g,--,--,--,--,40 mg,517 mg,13.5 g,6.7 g,5.3 g,2.3 g,7 %,14 %,3 %,8 %
Gobhi,Homemade Aloo Gobhi,1.0,1 Cups,208.0,11.3 g,--,--,--,--,--,400 mg,312 mg,23.7 g,3.7 g,5.3 g,3.2 g,3 %,118 %,5 %,5 %
Gajar,Mumtaz Gajar Halwa,1.0,100 gram,274.0,11.3 g,5.7 g,0 g,0 g,0 g,0 mg,200 mg,0 mg,36.9 g,3.4 g,36 g,4.5 g,0 %,0 %,0 %,0 %
Matar,Homemade Gajar Matar,1.0,1 serving (180.4 gms),123.0,3.6 g,0.5 g,0 g,0 g,0 g,0 mg,927 mg,--,20.6 g,5.8 g,8.4 g,3.8 g,377 %,41 %,6 %,9 %
Lauki,Home Lauki Aloo,1.0,1 cup,134.0,6.88 g,1.09 g,3.43 g,2.1 g,0 g,0 mg,920 mg,315 mg,16.89 g,3.1 g,1.59 g,1.81 g,21 %,47 %,5 %,21 %
Turai,"Turai (Dishcloth-gourd, Towel-gourd, Ridge-gourd), Raw",1.0,"1 cup 1"" pieces (95 g)",20.0,0.2 g,0 g,0.1 g,0 g,0 g,0 mg,3 mg,139 mg,4.4 g,0.5 g,0 g,1.2 g,8 %,20 %,2 %,2 %
Mixed sabzi,Gormeh sabzi Frozen sabzi,1.0,3 oz,100.0,6 g,0.75 g,0 g,0 g,0 g,0 mg,45 mg,0 mg,8 g,0 g,1.5 g,3 g,0 %,0 %,0 %,0 %
Whole milk,Meijer Whole Milk,1.0,1 cup,150.0,8 g,5 g,--,--,0 g,25 mg,105 mg,322 mg,12 g,0 g,12 g,8 g,--,--,27.6 %,0 %
Curd,Curd. Curd.,1.0,100 ml,48.0,1.5 g,--,--,--,--,--,--,--,5 g,--,--,3.5 g,--,--,--,--
Paneer,chilli paneer paneer,1.0,100 gram,264.0,12.31 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,19.75 g,0 g,2.41 g,18.62 g,0 %,0 %,0 %,0 %
Paneer curry,Fresh Menu Curried Paneer,1.0,1 bowl,230.0,10 g,--,--,--,--,--,--,--,27 g,--,--,16 g,--,--,--,--
Buttermilk,Buttermilk Rice,1.0,1 Cup,239.0,1.18 g,0.57 g,0.16 g,0.35 g,0 g,3.27 mg,840.91 mg,187.84 mg,48.53 g,0.65 g,4.07 g,6.99 g,0.97 %,9.26 %,11.14 %,10.95 %
Ghee,Swad Ghee,1.0,1 tbsp,123.0,14 g,8.7 g,--,--,0 g,38 mg,0 mg,--,0 g,--,0 g,0 g,--,--,--,--
Boiled egg,Eggs Boiled Egg,1.0,1 piece,70.0,5 g,1.5 g,1 g,2 g,0 g,185 mg,65 mg,70 mg,1 g,0 g,0 g,6 g,6 %,0 %,2 %,4 %
Egg omelette,Egg Egg Omelette,1.0,100 g,153.0,12.02 g,3.37 g,2 g,4.99 g,--,--,161 mg,114 mg,0.69 g,--,--,10.62 g,--,--,--,--
Egg bhurji,Generic Scrambled Egg Bhurji,1.0,0.5 cup cooked,191.0,13.7 g,3 g,3.2 g,6.2 g,--,--,--,--,6.1 g,--,--,12 g,--,--,--,--
Chicken curry,Cobbydale Chicken Curry Chicken Curry,1.0,1 portion,463.0,11.8 g,--,--,--,--,--,--,--,48.9 g,--,--,42.3 g,--,--,--,--
Grilled chicken breast,Grilled Chicken Breast Plain,1.0,3 oz,128.0,2.69 g,0.84 g,0.65 g,1.03 g,0.01 g,88.4 mg,44.2 mg,332.35 mg,0 g,0 g,0 g,25.96 g,0.54 %,0 %,0.42 %,2.13 %
Chicken tikka,Chicken tikka grilled Tikka,1.0,100 g,157.0,5 g,--,--,--,--,--,--,--,0.4 g,--,--,27.7 g,--,--,--,--
Mutton curry,Curry mutton Curry mutton,1.0,500 g,609.0,16.5 g,--,--,--,--,--,--,--,66.7 g,9.9 g,2 g,49 g,--,--,--,--
Fish curry,KYF Fish Curry,1.0,359 gram,404.0,26.4 g,2.1 g,--,--,--,--,641.8 mg,855.3 mg,13.3 g,3.7 g,8.7 g,27.5 g,2 %,15.67 %,9.21 %,15 %
