source_page_number,recipe_url,list_title
1,https://www.tarladalal.com/calories-for-Chapati-Healthy-Chapati-for-Weight-Loss-7608,Calories In Chapati – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Dosa---South-Indian-Recipe-32927,Calories In Dosa – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-How-To-Sprout-Moong-Mung-Beans-40323,Calories In How To Sprout Moong – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Parathas--Plain-Paratha-Basic-Paratha-Recipe-2170,Calories In Parathas – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Besan-Chilla-Besan-Cheela-33439,Calories In Besan Chilla – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Samosa--Gujarati-Recipe-562,Calories In Samosa – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Pani-Puri-Paani-Puri-Golgappa-Recipe-2806,Calories In Pani Puri – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Bajra-Roti-3892,Calories In Bajra Roti – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Puris--How-To-Make-Pooris--4394,Calories In Puris – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Kanda-Poha-33444,Calories In Kanda Poha – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Vada-Pav-2811,Calories In Vada Pav – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Dal-Khichdi-39570,Calories In Dal Khichdi – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Sabudana-Khichdi-39657,Calories In Sabudana Khichdi – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Upma--Quick-Upma-Recipe-Breakfast-Upma-38658,Calories In Upma – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Veg-Momos-Indian-Vegetable-Momos-22253,Calories In Veg Momos – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Fried-Egg-Perfect-Fried-Egg-Recipe-40763,Calories In Fried Egg – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Makki-ki-Roti-Punjabi-Makki-Di-Roti-Recipe-30908,Calories In Makki Ki Roti – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Chole-Bhature-2810,Calories In Chole Bhature – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Kala-Chana-Amti-Maharashtrian-Kala-Chana-Ambti-3576,Calories In Kala Chana Amti – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Basic-Homemade-Curd-Dahi-Or-Yogurt-Using-Cows-Milk-42457,Calories In Basic Homemade Curd – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Peanut-Chikki-41000,Calories In Peanut Chikki – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Moong-Dal-Chilla-Stuffed-Moong-Dal-Chila-764,Calories In Moong Dal Chilla – Nutrition Facts & Health Analysis
1,https://www.tarladalal.com/calories-for-Medu-Vada--South-Indian-Recipe-32683,Calories In Medu Vada – Nutrition Facts & Health Analysis
