food_name,serving_type,serving_qty,serving_weight_grams,serving_weight_grams_numeric,serving_phrase,table_value_header,table_daily_value_header,nutrient_count,calcium_daily_value_pct,calcium_value,carbohydrates_daily_value_pct,carbohydrates_value,cholesterol_daily_value_pct,cholesterol_value,energy_daily_value_pct,energy_value,fat_daily_value_pct,fat_value,fiber_daily_value_pct,fiber_value,folic_acid_vitamin_b9_daily_value_pct,folic_acid_vitamin_b9_value,iron_daily_value_pct,iron_value,magnesium_daily_value_pct,magnesium_value,phosphorus_daily_value_pct,phosphorus_value,potassium_daily_value_pct,potassium_value,protein_daily_value_pct,protein_value,sodium_daily_value_pct,sodium_value,vitamin_a_daily_value_pct,vitamin_a_value,vitamin_b1_thiamine_daily_value_pct,vitamin_b1_thiamine_value,vitamin_b2_riboflavin_daily_value_pct,vitamin_b2_riboflavin_value,vitamin_b3_niacin_daily_value_pct,vitamin_b3_niacin_value,vitamin_c_daily_value_pct,vitamin_c_value,vitamin_e_daily_value_pct,vitamin_e_value,zinc_daily_value_pct,zinc_value
Chapati,chapatti,35 grams,35 grams,35,Chapati,Value per chapatti,% Daily Values,20,1%,10.4 mg,6%,15.7 g,0%,0.0 mg,5%,104 kcal,6%,3.75 g,8%,2.49 g,3%,7.8 mcg,6%,1.1 mg,7%,28.6 mg,8%,76.9 mg,2%,68.3 mg,4%,2.6 g,0%,4.3 mg,3%,30.6 mcg,8%,0.1 mg,2%,0.0 mg,7%,0.9 mg,0%,0.0 mg,2%,0.2 mg,3%,0.5 mg
Dosa,dosa,1 dosa,,,Dosa,Value per dosa,% Daily Values,20,1%,10.9 mg,7%,18.8 g,0%,0.0 mg,7%,133 kcal,9%,5.17 g,4%,1.07 g,3%,9.5 mcg,3%,0.5 mg,5%,22.4 mg,5%,52.6 mg,2%,73.2 mg,4%,2.7 g,0%,3.3 mg,5%,47.2 mcg,4%,0.1 mg,1%,0.0 mg,5%,0.7 mg,0%,0.0 mg,0%,0.0 mg,2%,0.4 mg
Sprouted and Boiled Moong,cup,1 cup,,,cup of Sprouted and Boiled Moong,Value per cup,% Daily Values,20,10%,95.1 mg,16%,43.5 g,0%,0.0 mg,13%,256 kcal,2%,1.00 g,43%,12.80 g,160%,479.2 mcg,18%,3.4 mg,22%,97.4 mg,25%,249.9 mg,18%,646.3 mg,31%,18.4 g,1%,21.5 mg,7%,72.1 mcg,26%,0.4 mg,10%,0.2 mg,12%,1.6 mg,5%,3.7 mg,5%,0.4 mg,14%,2.3 mg
Paratha,paratha,1 paratha,,,paratha,Value per paratha,% Daily Values,20,1%,10.4 mg,6%,15.7 g,0%,0.0 mg,6%,126 kcal,10%,6.25 g,9%,2.64 g,3%,7.8 mcg,6%,1.1 mg,7%,28.6 mg,8%,76.9 mg,2%,68.3 mg,4%,2.6 g,0%,4.3 mg,5%,53.1 mcg,8%,0.1 mg,2%,0.0 mg,7%,0.9 mg,0%,0.0 mg,2%,0.2 mg,3%,0.5 mg
"Besan Chilla, Besan Cheela",chilla,1 chilla,,,"Besan Chilla, Besan Cheela",Value per chilla,% Daily Values,20,3%,31.5 mg,11%,30.7 g,0%,0.0 mg,12%,236 kcal,13%,7.88 g,26%,7.91 g,26%,76.5 mcg,14%,2.7 mg,15%,67.0 mg,17%,170.7 mg,11%,372.8 mg,18%,10.7 g,2%,38.4 mg,21%,214.9 mcg,18%,0.2 mg,5%,0.1 mg,9%,1.2 mg,3%,2.6 mg,1%,0.0 mg,5%,0.9 mg
Samosa,samosa,1 samosa,,,Samosa,Value per samosa,% Daily Values,20,1%,13.1 mg,3%,7.9 g,0%,0.0 mg,5%,91 kcal,10%,6.01 g,5%,1.60 g,3%,7.5 mcg,3%,0.5 mg,4%,15.5 mg,3%,34.3 mg,2%,71.7 mg,2%,1.4 g,0%,5.5 mg,11%,114.7 mcg,3%,0.0 mg,1%,0.0 mg,3%,0.4 mg,30%,23.8 mg,1%,0.1 mg,1%,0.2 mg
Pani Puri,serving,1 serving,,,serving of Pani Puri,Value serving,% Daily Values,20,6%,55.3 mg,11%,29.6 g,0%,0.0 mg,9%,188 kcal,9%,5.21 g,12%,3.58 g,14%,41.5 mcg,17%,3.3 mg,6%,24.8 mg,4%,43.7 mg,4%,127.9 mg,9%,5.4 g,1%,11.7 mg,33%,327.0 mcg,7%,0.1 mg,3%,0.1 mg,5%,0.7 mg,6%,4.8 mg,0%,0.0 mg,3%,0.5 mg
Bajra Roti,roti,"39 grams, 6 inches",39 grams,39,Bajra Roti,Value roti,% Daily Values,20,1%,12.0 mg,7%,19.1 g,0%,0.0 mg,6%,123 kcal,6%,3.78 g,11%,3.20 g,4%,12.4 mcg,11%,2.1 mg,9%,38.2 mg,9%,85.2 mg,2%,86.3 mg,5%,3.3 g,0%,3.4 mg,5%,54.3 mcg,7%,0.1 mg,3%,0.1 mg,5%,0.7 mg,0%,0.0 mg,2%,0.1 mg,5%,0.8 mg
Puris,puri,1 puri,,,Puris,Value per puri,% Daily Values,20,1%,5.2 mg,3%,7.5 g,0%,0.0 mg,5%,101 kcal,12%,7.35 g,1%,0.21 g,1%,3.9 mcg,3%,0.5 mg,0%,0.0 mg,0%,0.0 mg,1%,34.1 mg,2%,1.3 g,0%,2.2 mg,7%,67.6 mcg,4%,0.1 mg,1%,0.0 mg,3%,0.5 mg,0%,0.0 mg,-2%,-0.2 mg,1%,0.2 mg
Kanda Poha,plate,1 plate,,,plate of Kanda Poha,Value plate,% Daily Values,20,1%,13.7 mg,9%,25.0 g,0%,0.0 mg,9%,180 kcal,13%,7.88 g,1%,0.31 g,0%,1.0 mcg,32%,6.1 mg,7%,32.9 mg,8%,79.7 mg,2%,67.2 mg,4%,2.2 g,0%,3.9 mg,7%,67.6 mcg,5%,0.1 mg,1%,0.0 mg,9%,1.3 mg,2%,1.9 mg,0%,0.0 mg,0%,0.1 mg
Vada Pav,serving,1 serving,,,Vada Pav,Value serving,% Daily Values,20,2%,15.6 mg,12%,33.9 g,0%,0.0 mg,10%,197 kcal,7%,3.97 g,9%,2.66 g,9%,25.6 mcg,7%,1.4 mg,6%,25.2 mg,6%,58.2 mg,4%,153.3 mg,11%,6.6 g,1%,13.2 mg,5%,48.1 mcg,8%,0.1 mg,2%,0.0 mg,6%,0.9 mg,4%,3.1 mg,0%,0.0 mg,2%,0.4 mg
Dal Khichdi,serving,1 serving,,,serving of Dal Khichdi,Value serving,% Daily Values,20,5%,51.6 mg,21%,58.1 g,0%,0.0 mg,16%,320 kcal,7%,4.21 g,20%,5.96 g,18%,54.8 mcg,9%,1.6 mg,18%,78.5 mg,20%,204.4 mg,16%,545.8 mg,21%,12.4 g,1%,17.9 mg,15%,151.9 mcg,18%,0.3 mg,6%,0.1 mg,15%,2.1 mg,9%,7.5 mg,0%,0.0 mg,6%,1.0 mg
Sabudana Khichdi,serving,1 serving,,,serving of Sabudana Khichdi,Value serving,% Daily Values,20,5%,47.3 mg,31%,86.0 g,0%,0.0 mg,33%,655 kcal,53%,32.02 g,13%,3.78 g,30%,90.1 mcg,9%,1.8 mg,16%,70.2 mg,15%,152.4 mg,10%,359.6 mg,16%,9.7 g,1%,11.9 mg,36%,363.4 mcg,17%,0.2 mg,2%,0.0 mg,33%,4.6 mg,17%,13.9 mg,39%,2.9 mg,8%,1.3 mg
Upma,serving,1 serving,,,serving of Upma,Value serving,% Daily Values,20,1%,14.5 mg,11%,30.7 g,0%,0.0 mg,10%,192 kcal,10%,5.85 g,1%,0.32 g,9%,27.4 mcg,3%,0.7 mg,5%,20.0 mg,4%,44.2 mg,2%,61.0 mg,7%,4.0 g,0%,8.2 mg,5%,49.9 mcg,4%,0.1 mg,1%,0.0 mg,4%,0.6 mg,4%,2.9 mg,0%,0.0 mg,3%,0.5 mg
Momos,momo,1 momo,,,serving of Momos,Value momo,% Daily Values,20,2%,18.7 mg,3%,9.6 g,0%,0.0 mg,3%,66 kcal,4%,2.44 g,3%,0.88 g,3%,9.3 mcg,3%,0.6 mg,3%,12.1 mg,4%,44.4 mg,2%,72.4 mg,3%,1.6 g,3%,67.8 mg,18%,180.8 mcg,6%,0.1 mg,2%,0.0 mg,3%,0.4 mg,23%,18.3 mg,0%,0.0 mg,1%,0.1 mg
Fried Egg,fried egg,1 fried egg,,,Fried Egg,Value per fried egg,% Daily Values,20,3%,30.0 mg,0%,0.0 g,0%,0.0 mg,5%,109 kcal,15%,9.15 g,0%,0.00 g,13%,39.2 mcg,6%,1.1 mg,0%,0.0 mg,11%,110.0 mg,0%,0.0 mg,11%,6.7 g,0%,0.0 mg,32%,322.5 mcg,4%,0.1 mg,10%,0.2 mg,0%,0.1 mg,0%,0.0 mg,7%,0.5 mg,0%,0.0 mg
Makki ki Roti,roti,1 roti,,,Makki ki Roti,Value per roti,% Daily Values,20,0%,1.3 mg,5%,14.4 g,3%,7.5 mg,4%,90 kcal,5%,3.16 g,5%,1.37 g,2%,4.7 mcg,2%,0.5 mg,4%,17.5 mg,5%,51.7 mg,2%,60.0 mg,2%,1.3 g,1%,25.7 mg,11%,108.1 mcg,3%,0.0 mg,1%,0.0 mg,3%,0.4 mg,0%,0.0 mg,1%,0.1 mg,2%,0.3 mg
Chole Bhature,serving,1 serving,,,serving of Chole Bhature,Value serving,% Daily Values,20,12%,118.0 mg,18%,50.3 g,1%,1.5 mg,21%,427 kcal,33%,20.07 g,40%,11.99 g,27%,79.8 mcg,15%,2.8 mg,21%,92.2 mg,19%,186.6 mg,13%,453.6 mg,18%,10.8 g,1%,16.2 mg,26%,255.5 mcg,13%,0.2 mg,5%,0.1 mg,15%,2.1 mg,7%,5.3 mg,4%,0.3 mg,9%,1.5 mg
serving ( 175 grams) of Sprouted Kala Chana Ambti,serving,1 serving,175 grams,175,serving ( 175 grams) of Sprouted Kala Chana Ambti,Value serving,% Daily Values,20,8%,83.0 mg,9%,24.8 g,0%,0.0 mg,8%,154 kcal,5%,3.14 g,34%,10.24 g,23%,69.6 mcg,9%,1.8 mg,16%,71.1 mg,13%,125.7 mg,10%,352.7 mg,11%,6.5 g,2%,33.9 mg,8%,77.5 mcg,10%,0.1 mg,3%,0.1 mg,8%,1.1 mg,17%,13.7 mg,4%,0.3 mg,7%,1.1 mg
