food_name,recipe_title,recipe_url,calories_url,source_page_number,ingredient_count,ingredient_sections,serving_label,nutrient_heading,carbohydrates_value,cholesterol_value,energy_value,fat_value,fiber_value,protein_value,sodium_value
Chapati,Chapati Recipe (Authentic Indian Chapati),https://www.tarladalal.com/chapati-healthy-chapati-for-weight-loss-7608r,https://www.tarladalal.com/calories-for-Chapati-Healthy-Chapati-for-Weight-Loss-7608,1,5,For The Chapati,plate,Nutrient values (Abbrv)per plate,15.7 g,0 mg,104 Calories,3.7 g,2.5 g,2.6 g,4 mg
Dosa,Dosa Recipe (With Dosa Batter),https://www.tarladalal.com/dosa---south-indian-recipe-32927r,https://www.tarladalal.com/calories-for-Dosa---South-Indian-Recipe-32927,1,10,For Dosa | For Serving With Dosa,dosa,Nutrient values (Abbrv) per dosa,18.8 g,0 mg,133 Calories,5.2 g,1.1 g,2.7 g,3 mg
How to Sprout Moong Beans at Home – Easy Guide,How to Sprout Moong Beans at Home – Easy Guide,https://www.tarladalal.com/how-to-sprout-moong-mung-beans-40323r,https://www.tarladalal.com/calories-for-How-To-Sprout-Moong-Mung-Beans-40323,1,3,For Moong Sprouts,plate,Nutrient values (Abbrv)per plate,43.5 g,0 mg,256 Calories,1.0 g,12.8 g,18.4 g,21 mg
Parathas,Parathas Recipe (Plain Paratha),https://www.tarladalal.com/parathas--plain-paratha-basic-paratha-recipe-2170r,https://www.tarladalal.com/calories-for-Parathas--Plain-Paratha-Basic-Paratha-Recipe-2170,1,6,For Serving With Parathas | For The Parathas,paratha,Nutrient values (Abbrv) per paratha,15.7 g,0 mg,126 Calories,6.2 g,2.6 g,2.6 g,4 mg
Besan Chilla,Besan Chilla Recipe (Rajasthani Besan Cheela),https://www.tarladalal.com/besan-chilla-besan-cheela-33439r,https://www.tarladalal.com/calories-for-Besan-Chilla-Besan-Cheela-33439,1,8,For Besan Chilla | For Serving With Besan Chilla,chilla,Nutrient values (Abbrv) per chilla,30.7 g,0 mg,236 Calories,7.9 g,7.9 g,10.7 g,38 mg
Gujarati Samosa,Gujarati Samosa Recipe (Gujarati Style Vegetable Samosa),https://www.tarladalal.com/samosa--gujarat-recipe-562r,https://www.tarladalal.com/calories-for-Samosa--Gujarati-Recipe-562,1,17,For Serving With The Samosa | For The Covering | For The Samosa Filling | Other Ingredients For The Samosa,samosa,Nutrient values (Abbrv) per samosa,7.9 g,0 mg,91 Calories,6.0 g,1.6 g,1.4 g,6 mg
Pani Puri,Pani Puri Recipe (Golgappa),https://www.tarladalal.com/pani-puri-paani-puri-golgappa-recipe-2806r,https://www.tarladalal.com/calories-for-Pani-Puri-Paani-Puri-Golgappa-Recipe-2806,1,17,For The Pani (makes 4 Cups) | For The Puris (makes 42) | Other Ingredients For Pani Puri,plate,Nutrient values (Abbrv) per plate,29.6 g,0 mg,188 Calories,5.2 g,3.6 g,5.4 g,12 mg
Bajra Roti,Bajra Roti Recipe (Bajre Ki Roti),https://www.tarladalal.com/bajra-roti-3892r,https://www.tarladalal.com/calories-for-Bajra-Roti-3892,1,5,For Bajra Roti,roti,Nutrient values (Abbrv) per roti,19.1 g,0 mg,123 Calories,3.8 g,3.2 g,3.3 g,3 mg
Puris ( How To Make Pooris ),Puris ( How To Make Pooris ) Recipe (Poori),https://www.tarladalal.com/puris--how-to-make-pooris--4394r,https://www.tarladalal.com/calories-for-Puris--How-To-Make-Pooris--4394,1,4,For Puris,puri,Nutrient values (Abbrv) per puri,7.5 g,0 mg,101 Calories,7.4 g,0.2 g,1.3 g,2 mg
Kanda Poha,Kanda Poha Recipe (Maharashtrian Style Kanda Poha),https://www.tarladalal.com/kanda-poha-33444r,https://www.tarladalal.com/calories-for-Kanda-Poha-33444,1,15,For Kanda Poha | For Serving With The Kanda Poha | For The Garnish,plate,Nutrient values (Abbrv) per plate,25.0 g,0 mg,180 Calories,7.9 g,0.3 g,2.2 g,4 mg
